,shopid,userid
0,93950878,0
1,156423439,0
2,173699291,0
3,63674025,0
4,127249066,0
5,173811070,0
6,107921853,0
7,178400128,0
9,164933170,0
11,145694343,0
12,96464079,0
13,30988921,0
14,199867753,0
15,67162407,0
16,65883234,0
17,33242381,0
18,3285661,0
19,95138572,0
20,286003,0
21,12662873,0
22,152569117,0
23,8051258,0
24,12480907,0
25,60239193,0
26,106779896,0
27,111250776,0
28,51526935,0
29,195394274,0
30,52637837,0
31,43719124,0
32,60489360,0
33,161269907,0
34,1175477,0
35,213154942,0
37,168748997,0
38,93363430,0
39,96757689,0
40,90339629,0
41,193010376,0
42,137754804,0
43,152871252,0
44,67960532,0
45,64625969,0
46,4669871,0
47,62713846,0
48,39554718,0
49,84706933,0
50,200296452,0
51,25958852,0
53,13451191,0
54,33236404,0
55,173718481,0
57,24759976,0
58,10009,0
59,116628441,0
61,178718312,0
62,155145027,0
63,192895429,0
64,171916860,0
65,165030850,0
66,64492135,0
67,175116620,0
68,641249,0
69,172185419,0
70,66861410,0
71,140937896,0
73,157026776,0
74,63663065,0
75,129257169,0
76,174032222,0
77,99787848,0
78,158448460,0
79,141604059,0
80,70506399,0
81,115294353,0
82,84547411,0
83,8121841,0
85,137762642,0
86,147398485,0
87,66342314,0
88,137556407,0
90,58721934,0
91,161592223,0
92,15478158,0
93,75628559,0
94,123115,0
95,150138574,0
96,65885656,0
98,116348330,0
99,760726,0
100,119310624,0
101,119359354,0
102,131198971,0
103,93861688,0
104,171947507,0
105,96755275,0
106,134885636,0
107,182347785,0
108,79057741,0
109,117919981,0
110,129926253,0
111,187008230,0
112,51487475,0
113,5354812,0
114,17911218,0
115,164068108,0
116,83440682,0
117,107932444,0
118,76199702,0
120,26093752,0
121,82269041,0
122,60314946,0
123,27998060,0
124,56455906,0
125,199611020,0
126,141605375,0
127,122218940,0
128,209203887,0
129,201015462,0
130,130128043,0
131,85948343,0
132,22502375,0
133,97371429,0
135,41282916,0
136,83102588,0
137,151865497,0
138,87879785,0
139,23958390,0
142,8801197,0
143,170111547,0
145,135798381,0
146,17749654,0
147,30740749,0
148,152249535,0
149,12568,0
150,129736159,0
152,96869191,0
153,10208,0
154,26056025,0
155,40429317,0
156,33209224,0
157,86797153,0
159,6285560,0
160,5033989,0
161,26218382,0
163,10891360,0
164,135041681,0
165,116499414,0
166,101590068,0
167,96953349,0
168,38190697,0
169,121742138,0
170,160305762,0
171,188854351,0
172,140589385,0
173,3623477,0
174,13734672,0
176,151146454,0
177,135054910,0
178,64909454,0
179,120981896,0
181,2395380,0
182,28622157,0
183,183068,0
184,9029100,0
185,48658870,0
186,59599139,0
187,18784836,0
